1.251999999999999957e+01,3.322000000000000064e+00,8.507500000000000000e+02,2.767599999999999838e+01
1.076299999999999990e+01,2.044999999999999929e+00,8.565560000000000400e+02,2.421699999999999875e+01
1.230799999999999983e+01,2.573999999999999844e+00,8.712380000000000564e+02,2.100000000000000000e+01
1.223900000000000077e+01,2.238999999999999879e+00,8.456159999999999854e+02,1.984700000000000131e+01
1.116000000000000014e+01,1.661999999999999922e+00,8.424919999999999618e+02,1.972899999999999920e+01
1.092600000000000016e+01,1.659000000000000030e+00,8.760710000000000264e+02,1.921099999999999852e+01
1.213499999999999979e+01,1.864000000000000101e+00,8.148980000000000246e+02,1.922100000000000009e+01
1.392600000000000016e+01,2.495000000000000107e+00,8.550900000000000318e+02,1.372700000000000031e+01
1.051600000000000001e+01,1.391000000000000014e+00,8.400579999999999927e+02,1.683899999999999864e+01
1.021700000000000053e+01,1.372999999999999998e+00,8.368930000000000291e+02,1.705499999999999972e+01
1.097400000000000020e+01,1.332999999999999963e+00,8.568769999999999527e+02,1.431000000000000050e+01
1.156099999999999994e+01,1.352999999999999980e+00,8.365639999999999645e+02,1.419100000000000072e+01
1.347600000000000087e+01,1.879999999999999893e+00,8.416140000000000327e+02,1.183600000000000030e+01
1.100000000000000000e+01,1.145000000000000018e+00,8.489600000000000364e+02,1.314100000000000001e+01
1.299399999999999977e+01,1.622999999999999998e+00,8.522519999999999527e+02,1.132099999999999973e+01
