1.103899999999999970e+01,2.366000000000000103e+00,8.689260000000000446e+02,2.570599999999999952e+01
1.267999999999999972e+01,2.640000000000000124e+00,8.651250000000000000e+02,2.026399999999999935e+01
1.042699999999999960e+01,1.725999999999999979e+00,8.554869999999999663e+02,1.993900000000000006e+01
1.195299999999999940e+01,1.877999999999999892e+00,8.301290000000000191e+02,1.926800000000000068e+01
9.909000000000000696e+00,1.457000000000000073e+00,8.294070000000000391e+02,2.025799999999999912e+01
1.023700000000000010e+01,1.399999999999999911e+00,8.636009999999999991e+02,1.662199999999999989e+01
1.058699999999999974e+01,1.308999999999999941e+00,8.686989999999999554e+02,1.546000000000000085e+01
1.165499999999999936e+01,1.370000000000000107e+00,8.415119999999999436e+02,1.382000000000000028e+01
1.189600000000000080e+01,1.399999999999999911e+00,8.517200000000000273e+02,1.237299999999999933e+01
1.341399999999999970e+01,1.802000000000000046e+00,8.681960000000000264e+02,1.131499999999999950e+01
